Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,ReportDate,OffenseCount
4900 BLOCK OF SE 122ND AVE,22-903003,Property,Powellhurst-Gilbert,11/15/2021,1200,Counterfeiting/Forgery,Counterfeiting/Forgery,45.486381419,-122.537769787,1/31/2022,1
4900 BLOCK OF SE COOPER ST,22-1983,Property,Brentwood-Darlington,1/3/2022,1045,Larceny Offenses,All Other Larceny,45.473507996,-122.611884195,1/3/2022,1
4900 BLOCK OF SE DIVISION ST,22-28084,Person,Richmond,1/30/2022,1157,Assault Offenses,Simple Assault,45.505345387,-122.611573614,1/30/2022,1
4900 BLOCK OF SE LINCOLN ST,22-2081,Property,Richmond,1/2/2022,1600,Motor Vehicle Theft,Motor Vehicle Theft,45.507973793,-122.611722064,1/3/2022,1
4900 BLOCK OF SE TAYLOR ST,22-8938,Property,Sunnyside,1/9/2022,0800,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.515370075,-122.611899548,1/11/2022,1
4900 BLOCK OF SW 56TH AVE,22-9320,Property,Bridlemile,1/11/2022,0745,Motor Vehicle Theft,Motor Vehicle Theft,45.487863941,-122.734896375,1/11/2022,1
5000 BLOCK OF N GREELEY AVE,22-900771,Property,Overlook,12/27/2021,1509,Larceny Offenses,All Other Larceny,45.560213436,-122.694572048,1/4/2022,1
5000 BLOCK OF N INTERSTATE AVE,22-2088,Property,Overlook,11/3/2021,0000,Larceny Offenses,Theft From Motor Vehicle,45.559432277,-122.682422595,1/3/2022,1
5000 BLOCK OF N INTERSTATE AVE,22-2088,Property,Overlook,11/3/2021,0000,Vandalism,Vandalism,45.559432277,-122.682422595,1/3/2022,1
5000 BLOCK OF N INTERSTATE AVE,22-26445,Property,Overlook,1/28/2022,0100,Vandalism,Vandalism,45.559432277,-122.682422595,1/28/2022,1
5000 BLOCK OF N INTERSTATE AVE,22-901516,Property,Overlook,1/7/2022,2330,Larceny Offenses,All Other Larceny,45.559432277,-122.682422595,1/17/2022,1
5000 BLOCK OF N WILLAMETTE BLVD,22-5839,Property,University Park,12/31/2021,2300,Motor Vehicle Theft,Motor Vehicle Theft,45.574662106,-122.725240203,1/7/2022,1
5000 BLOCK OF NE 9TH AVE,22-11673,Property,King,1/2/2022,0200,Motor Vehicle Theft,Motor Vehicle Theft,45.559587155,-122.656620093,1/13/2022,1
5000 BLOCK OF NE 13TH AVE,22-27851,Person,King,1/30/2022,0331,Assault Offenses,Aggravated Assault,45.559552963,-122.652588197,1/30/2022,1
5000 BLOCK OF NE 13TH AVE,22-27851,Property,King,1/30/2022,0331,Vandalism,Vandalism,45.559552963,-122.652588197,1/30/2022,1
5000 BLOCK OF NE 21ST AVE,22-3805,Property,Vernon,1/4/2022,1900,Motor Vehicle Theft,Motor Vehicle Theft,45.559377059,-122.643793931,1/5/2022,1
5000 BLOCK OF NE 29TH AVE,22-19046,Property,Concordia,1/21/2022,0810,Fraud Offenses,False Pretenses/Swindle/Confidence Game,45.559347310,-122.635809794,1/21/2022,1
5000 BLOCK OF NE 35TH PL,22-901953,Property,Concordia,1/19/2022,1220,Larceny Offenses,Theft From Motor Vehicle,45.559440386,-122.627681881,1/19/2022,1
5000 BLOCK OF NE 42ND AVE,22-16255,Property,Cully,1/18/2022,1311,Extortion/Blackmail,Extortion/Blackmail,45.559252335,-122.620336288,1/18/2022,1
5000 BLOCK OF NE 42ND AVE,22-902723,Property,Concordia,1/28/2022,2230,Burglary,Burglary,45.559250031,-122.620461179,1/29/2022,1
5000 BLOCK OF NE 82ND AVE,22-901404,Property,Sumner,1/14/2022,1830,Larceny Offenses,Shoplifting,45.559522749,-122.578478955,1/14/2022,1
5000 BLOCK OF NE 112TH AVE,22-900454,Property,Parkrose,1/6/2022,1259,Larceny Offenses,All Other Larceny,45.559820229,-122.547370672,1/7/2022,1
5000 BLOCK OF NE 115TH AVE,22-900107,Property,Parkrose,1/2/2022,2115,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.559911113,-122.544112855,1/3/2022,1
5000 BLOCK OF NE 122ND AVE,22-3931,Property,Parkrose,1/5/2022,1441,Robbery,Robbery,45.559802573,-122.537707845,1/5/2022,1
5000 BLOCK OF NE GRAND AVE,22-12535,Property,King,1/13/2022,2000,Larceny Offenses,All Other Larceny,45.559571359,-122.660384513,1/14/2022,1
5000 BLOCK OF NE HOYT ST,22-901664,Property,North Tabor,1/21/2022,1400,Larceny Offenses,Theft From Building,45.527173225,-122.611444741,1/22/2022,1
5000 BLOCK OF NE HOYT ST,22-902940,Property,North Tabor,12/27/2021,1045,Fraud Offenses,Credit Card/ATM Fraud,45.527173225,-122.611444741,1/31/2022,1
5000 BLOCK OF NE MARTIN LUTHER KING JR BLVD,22-902316,Property,King,1/20/2022,1855,Vandalism,Vandalism,45.559576771,-122.661556407,1/26/2022,1
5000 BLOCK OF NE SANDY BLVD,22-20243,Property,Rose City Park,1/19/2022,1730,Motor Vehicle Theft,Motor Vehicle Theft,45.539586056,-122.611402840,1/22/2022,1
5000 BLOCK OF NE SANDY BLVD,22-20545,Property,Rose City Park,1/19/2022,1700,Motor Vehicle Theft,Motor Vehicle Theft,45.539586056,-122.611402840,1/22/2022,1
